"porte058","facades-repetitives","photos_08_17/2012/2012_09_16_versailles/k_cadrages/dscf8435.jpg"
"porte059","quasi-canoniques","photos_08_17/2017/2017_09_01_pallud/dscf0638.jpg"
"porte060","cadrages-inhabituels","photos_08_17/2008/2008_avant_belgique/dscf2405.jpg"
"porte061","perspectives","photos_08_17/2013/2013_02_24_nogent_le_roi/dscf8712.jpg"
"porte062","de-dedans","photos_08_17/2013/2013_03_31_meudon/dscf8815.jpg"
"porte063","quasi-canoniques","photos_08_17/2015/2015_10_24a_plagnes_pallud_arpennaz/img_20151024_154829.jpg"
"porte064","quasi-canoniques","photos_08_17/2015/2015_12_29_30_rennes/dscf9787.jpg"
"porte065","facades-lato-sensu","photos_08_17/2014/2014_05_17f_montmirail_chateau_ext/dscf9358.jpg"
"porte066","facades-lato-sensu","photos_08_17/2011/2011_07_16_juska_saint_alban/dscf7201.jpg"
"porte067","quasi-canoniques","photos_08_17/2013/2013_06_15i_fenetres/dscf9053.jpg"
"porte068","facades-lato-sensu","photos_08_17/2011/2011_03_01_cabourg/dscf6562.jpg"
"porte069","portail","photos_08_17/2009/2009_01_05_neige/dscf4473.jpg"
"porte070","quasi-canoniques","photos_08_17/2008/2008_05_31_brunoy/dscf3241.jpg"
"porte071","facades-repetitives","photos_08_17/2013/2013_03_24_versailles/dscf8742.jpg"
"porte072","facades-lato-sensu","photos_08_17/2010/2010_04_18_longny/dscf5673.jpg"
"porte073","portail","photos_08_17/2010/2010_04_18_longny/dscf5619.jpg"
"porte074","portail","photos_08_17/2012/2012_09_16_versailles/h_grilles/dscf8436.jpg"
"porte075","atypiques","photos_08_17/2012/2012_09_16_versailles/f_facades/dscf8433.jpg"
"porte076","fenetre-unique","photos_08_17/2008/2008_05_31_brunoy/dscf3264.jpg"
"porte077","fer-forge","photos_08_17/2014/2014_05_17j_fer_forge/dscf9327.jpg"
"porte078","fer-forge","photos_08_17/2008/2008_10b_oleron/2008_10_27f_mobilier_urbain/dscf4113.jpg"
"porte079","portail","photos_08_17/2008/2008_05_31_brunoy/dscf3246.jpg"
"porte080","perspectives","photos_08_17/2012/2012_09_16_versailles/f_facades/dscf8345.jpg"
"porte081","fenetre-unique","photos_08_17/2010/2010_05_16_royan/dscf5873.jpg"
"porte082","porte-et-fenetres","photos_08_17/2011/2011_03_01_cabourg/dscf6561.jpg"
"porte083","facades-lato-sensu","photos_08_17/2012/2012_09_16_versailles/f_facades/dscf8350.jpg"
"porte084","quasi-canoniques","photos_08_17/2008/2008_10a_pallud/2008_10_18g_fayet_fenetres/dscf3981.jpg"
"porte085","atypiques","photos_08_17/2008/2008_02_25_bruges/dscf2782.jpg"
"porte086","facades-lato-sensu","photos_08_17/2008/2008_05_31_brunoy/dscf3255.jpg"
"porte087","portes-par-deux","photos_08_17/2009/2009_05_09_chateau_landon/dscf4782.jpg"
"porte088","fenetres-par-deux","photos_08_17/2013/2013_06_15i_fenetres/dscf9056.jpg"
"porte089","porte-unique","photos_08_17/2013/2013_06_15i_fenetres/dscf9071.jpg"
"porte090","facades-lato-sensu","photos_08_17/2011/2011_07_11_b_aubusson/dscf7026.jpg"
"porte091","quasi-canoniques","photos_08_17/2013/2013_08_29c_fenetres/dscf9176.jpg"
"porte092","porte-et-fenetres","photos_08_17/2013/2013_06_15i_fenetres/dscf9063.jpg"
"porte093","cadrages-inhabituels","photos_08_17/2008/2008_10b_oleron/2008_11_01e_gens/dscf4343.jpg"
"porte094","fenetre-unique","photos_08_17/2008/2008_05_31_brunoy/dscf3251.jpg"
"porte095","perspectives","photos_08_17/2011/2011_04_09_passages_couverts/dscf6620.jpg"
"porte096","portail","photos_08_17/2014/2014_05_17i_portes_et_fenetres/dscf9312.jpg"
"porte097","porte-et-fenetres","photos_08_17/2013/2013_06_15i_fenetres/dscf9036.jpg"
"porte098","facades-lato-sensu","photos_08_17/2012/2012_09_16_versailles/e_immeubles/dscf8343.jpg"
"porte099","details","photos_08_17/2010/2010_05_02_chartres/dscf5767.jpg"
"porte100","cadrages-inhabituels","photos_08_17/2012/2012_09_16_versailles/k_cadrages/dscf8429.jpg"
"porte101","porte-et-fenetres","photos_08_17/2014/2014_05_17i_portes_et_fenetres/dscf9316.jpg"
"porte102","quasi-canoniques","photos_08_17/2013/2013_08_29c_fenetres/dscf9171.jpg"
"porte103","facades-lato-sensu","photos_08_17/2013/2013_06_15h_nogent_le_rotrou/dscf9049.jpg"
"porte104","details","photos_08_17/2012/2012_09_16_versailles/g_fenetres/dscf8405.jpg"
"porte105","porte-unique","photos_08_17/2013/2013_04_11_calanques/dscf8927.jpg"
"porte106","facades-lato-sensu","photos_08_17/2012/2012_09_16_versailles/f_facades/dscf8349.jpg"
"porte107","perspectives","photos_08_17/2008/2008_10a_pallud/2008_10_18g_fayet_fenetres/dscf3932.jpg"
"porte108","porte-unique","photos_08_17/2013/2013_06_15i_fenetres/dscf9038.jpg"
"porte109","fenetre-unique","photos_08_17/2011/2011_07_11_b_aubusson/dscf7041.jpg"
"porte110","fenetres-par-deux","photos_08_17/2014/2014_05_17i_portes_et_fenetres/dscf9301.jpg"
"porte111","porte-unique","photos_08_17/2008/2008_05_31_brunoy/dscf3244.jpg"
"porte112","porte-unique","photos_08_17/2013/2013_08_29c_fenetres/dscf9087.jpg"
"porte113","fenetre-unique","photos_08_17/2008/2008_02_23_namur/dscf2533.jpg"
"porte114","portail","photos_95_07/2006/2006_08/chvrs_paysage/dscf0453.jpg"
"porte115","portail","photos_08_17/2008/2008_05_12_dourdan/dscf3054.jpg"
"porte116","porte-unique","photos_08_17/2008/2008_05_31_brunoy/dscf3256.jpg"
"porte117","fenetre-unique","photos_08_17/2010/2010_04_18_longny/dscf5708.jpg"
"porte118","facades-repetitives","photos_08_17/2008/2008_10a_pallud/2008_10_18g_fayet_fenetres/dscf3992.jpg"
"porte119","porte-unique","photos_08_17/2008/2008_05_31_brunoy/dscf3221.jpg"
"porte120","perspectives","photos_08_17/2012/2012_09_16_versailles/f_facades/dscf8432.jpg"
"porte121","facades-lato-sensu","photos_08_17/2010/2010_04_18_longny/dscf5668.jpg"
"porte122","perspectives","photos_08_17/2012/2012_09_16_versailles/k_cadrages/dscf8420.jpg"
"porte123","fer-forge","photos_08_17/2014/2014_05_17j_fer_forge/dscf9346.jpg"
"porte124","perspectives","photos_08_17/2014/2014_05_17i_portes_et_fenetres/dscf9336.jpg"
"porte125","atypiques","photos_95_07/2007/2007_04/07avr/dscf0784.jpg"
"porte126","facades-lato-sensu","photos_08_17/2014/2014_05_17a_la_ferte_rues/dscf9285.jpg"
"porte127","atypiques","photos_08_17/2008/2008_08_toulouse_portugal/05_porto/dscf3703.jpg"
"porte128","perspectives","photos_08_17/2017/2017_09_10c_flumet/dscf1009.jpg"
"porte129","fer-forge","photos_08_17/2013/2013_02_21_ballade_eric/dscf8658.jpg"
"porte130","de-dedans","photos_08_17/2010/2010_04_08_chamerolles/dscf5471.jpg"
"porte131","portail","photos_08_17/2012/2012_09_16_versailles/h_grilles/dscf8358.jpg"
"porte132","fer-forge","photos_08_17/2008/2008_10a_pallud/2008_10_18e_fayet_mobilier_urbain/dscf3933.jpg"
"porte133","atypiques","photos_08_17/2008/2008_05_12_dourdan/dscf3040.jpg"
"porte134","fer-forge","photos_08_17/2012/2012_09_16_versailles/k_cadrages/dscf8353.jpg"
